Time of beat occurence(seconds)	Signal value at beat(mV)
315.709	632.06
316.361	575.72
316.997	682.48
317.635	698.11
318.292	679.78
318.968	679.51
319.651	669.54
320.324	610.23
320.965	640.15
321.61	704.32
322.272	680.86
322.967	658.21
323.67	636.65
324.37	646.62
325.045	565.47
325.686	660.1
326.319	623.44
326.954	660.64
328.333	701.35
329.051	719.95
329.736	723.19
330.413	740.44
331.137	722.11
331.916	680.32
332.731	660.1
333.544	619.66
334.344	602.41
335.085	577.07
335.772	672.5
336.443	640.69
337.094	620.47
337.749	629.64
339.033	577.34
339.661	632.06
340.931	645.27
341.599	621.01
342.295	644.47
343.004	621.01
343.681	613.46
344.344	664.15
345.005	642.04
345.679	644.47
346.353	629.37
346.998	573.56
348.234	665.22
348.849	629.37
349.474	608.61
350.114	610.23
350.732	574.91
351.349	645.81
351.959	708.36
352.585	681.94
353.218	626.4
353.853	592.97
354.486	592.7
355.098	645.54
355.706	718.06
356.324	687.6
356.956	670.35
357.616	653.9
358.293	645
359.607	599.98
360.234	700
360.86	664.68
361.483	633.41
362.11	668.46
362.745	647.97
363.365	672.5
363.978	701.08
364.618	716.72
365.317	716.45
366.064	686.52
366.82	666.84
367.556	601.6
368.24	594.32
368.896	667.92
369.55	671.42
370.217	666.84
370.908	658.75
371.591	658.75
372.261	641.77
372.917	649.32
373.542	652.28
374.158	726.96
374.778	707.55
375.42	701.62
376.098	698.11
376.803	677.9
378.172	614.81
378.816	595.67
379.463	949.11
380.08	815.66
380.699	615.62
381.306	764.97
381.915	1892.1
382.519	1154.3
383.149	650.94
383.814	652.82
384.487	817.81
385.158	886.02
385.79	926.73
386.408	913.25
387.027	896.27
387.654	886.29
388.289	834.26
388.905	700.27
389.513	821.59
390.145	924.84
390.82	960.97
391.587	884.4
392.395	1006.3
393.132	1148.1
393.879	857.71
394.828	878.74
395.912	664.15
396.946	732.62
397.82	773.33
398.654	860.68
399.605	896.27
400.599	852.32
401.475	809.73
402.225	917.56
403.017	910.29
404.094	928.35
405.084	823.75
405.985	912.98
407.036	1005.5
408.049	1001.9
408.992	855.56
409.859	954.23
410.849	1028.4
411.877	926.19
412.779	938.32
414.458	947.49
415.409	932.39
416.317	859.87
417.217	947.49
418.2	944.79
420.088	831.02
420.858	888.45
421.645	957.19
422.537	972.02
423.505	938.86
424.429	864.18
425.274	907.32
426.159	976.87
427.174	951.26
428.178	922.69
429.136	853.13
429.995	921.88
430.921	976.07
431.9	953.42
432.864	885.75
433.738	856.91
434.658	946.14
435.65	963.66
436.696	935.63
437.691	883.06
438.575	855.56
439.491	968.25
440.5	974.72
441.521	945.87
442.5	922.42
443.408	826.44
444.236	912.98
445.097	975.53
446.026	978.49
447.914	910.55
448.82	847.47
449.654	934.28
450.556	975.53
451.511	938.59
452.455	920.26
453.333	870.12
454.106	862.03
454.881	959.89
455.747	973.37
456.682	928.35
457.604	856.64
458.442	892.76
459.309	968.79
460.243	956.66
461.207	923.23
462.142	876.59
463.007	793.55
463.8	891.41
464.6	956.39
465.446	941.83
466.314	911.09
467.185	861.76
467.978	809.73
468.758	921.34
470.447	928.89
471.343	921.88
472.201	811.34
472.982	902.47
473.784	978.22
474.654	952.07
475.59	869.85
476.518	843.7
477.323	804.07
478.105	953.96
478.937	996.82
479.877	944.79
480.818	870.39
481.701	829.95
482.578	925.11
483.498	930.5
484.4	896.81
485.312	872.81
486.141	823.21
486.942	940.21
487.815	991.16
488.753	938.86
489.697	906.78
490.586	801.1
491.395	872.81
492.236	948.84
493.136	985.77
494.029	919.18
494.913	887.64
495.767	797.33
496.574	867.96
497.445	963.66
498.38	950.19
499.322	905.97
500.254	881.71
501.121	795.17
501.906	866.61
502.755	979.03
503.671	973.1
504.615	893.03
505.508	817.54
506.397	998.44
507.383	1050.2
508.397	958
509.401	924.03
510.299	820.78
511.133	905.7
511.99	972.83
512.892	952.88
